scenario,hfa_multiplier,alpha,log_loss,brier_score,ece,oci,tail_error,n_samples
hfa_minus_50pct,0.5,0.6,0.6439915818750986,0.22670139657976685,0.0988565497361707,0.03518843016499477,0.36598129200188567,1881
hfa_minus_50pct,0.5,0.7,0.643970089554606,0.22667275551035437,0.09718303829548382,0.034898009004792944,0.36351030871135426,1881
hfa_minus_50pct,0.5,0.8,0.6440380288382478,0.22668651462597203,0.09654900458723134,0.034545439007379795,0.3651638665686668,1881
hfa_minus_50pct,0.5,0.9,0.6441958160964363,0.22674314652410238,0.09526411150724294,0.03381464038144692,0.36669831325042485,1881
hfa_minus_50pct,0.5,1.0,0.644443810741178,0.2268430225609863,0.09397171117161199,0.03361319478283309,0.3701097306951471,1881
hfa_baseline,1.0,0.0,0.6587002379520167,0.23376018997192433,0.12766072949742976,0.07351186906630569,0.3540847676916788,1881
hfa_baseline,1.0,0.1,0.6580372533093553,0.23345306900450405,0.1266429945001416,0.07176305377754172,0.35524014117020564,1881
hfa_baseline,1.0,0.2,0.6574588695817096,0.23318135474835672,0.12561255427324083,0.06917911658730366,0.35891468438393564,1881
hfa_baseline,1.0,0.3,0.6569658558961817,0.2329460639352487,0.12467607869478918,0.07454397797636156,0.360054337070701,1881
hfa_baseline,1.0,0.4,0.6565589393910937,0.23274815619142028,0.12361989844913478,0.06649213256720811,0.3589315469986102,1881
hfa_baseline,1.0,0.5,0.6562388026084816,0.23258852658263027,0.12255227423351661,0.06392778796704333,0.35329439851787825,1881
hfa_baseline,1.0,0.6,0.6560060810279006,0.23246799850627262,0.12147367669527688,0.05794253706963515,0.3571666761282646,1881
hfa_baseline,1.0,0.7,0.6558613607681338,0.23238731706279506,0.12038460328136143,0.04716847203926539,0.35411329156407056,1881
hfa_baseline,1.0,0.8,0.6558051764819959,0.23234714303291465,0.11928557697790304,0.04566774087732422,0.35567201790686465,1881
hfa_baseline,1.0,0.9,0.6558380094674435,0.23234804757690625,0.1181771448554446,0.04457333982549536,0.35711827958209635,1881
hfa_baseline,1.0,1.0,0.6559602860156837,0.2323905077578144,0.1170598764252576,0.04361437070148494,0.3606939692691076,1881
hfa_plus_50pct,1.5,0.0,0.6742241626407335,0.24105162735501248,0.15300042318334836,0.08236544942129702,0.34679654635905616,1881
hfa_plus_50pct,1.5,0.1,0.6734520955143487,0.24071581432066302,0.15194713246283204,0.0758322583776601,0.34787094899101356,1881
hfa_plus_50pct,1.5,0.2,0.6727630499233547,0.24041261811014678,0.150877461437286,0.06647827079271033,0.3516856481258379,1881
hfa_plus_50pct,1.5,0.3,0.6721578307605317,0.24014306306981115,0.14989681973408078,0.07236505521227224,0.3527461525161576,1881
hfa_plus_50pct,1.5,0.4,0.6716372044298156,0.23990812685306068,0.1489010348842221,0.06940916976931204,0.3513108267315343,1881
hfa_plus_50pct,1.5,0.5,0.6712018962135147,0.23970873329461342,0.14789043548416841,0.06545123602036491,0.3448937847371332,1881
hfa_plus_50pct,1.5,0.6,0.6708525877579327,0.23954574553355198,0.14686538394763266,0.06130725220900451,0.34889933063710676,1881
hfa_plus_50pct,1.5,0.7,0.6705899147029716,0.2394199595049093,0.14582627626484354,0.05876984462663213,0.3452860727758782,1881
hfa_plus_50pct,1.5,0.8,0.6704144644801285,0.2393320979147948,0.14477354151528574,0.05780181648526078,0.34674934926965173,1881
hfa_plus_50pct,1.5,0.9,0.6703267743016129,0.23928280480551653,0.14370764112242235,0.05991195192150023,0.3481068726265257,1881
hfa_plus_50pct,1.5,1.0,0.6703273293611386,0.23927264080509117,0.14262906784263402,0.05027423075902867,0.35183510076226165,1881
